;Version;Bit Type;Variable;Default Value;Variable;Condition;value;TypeNo;Comments
;R13-R2000;;;;;;;;
;;H;first entry;;!xref overlaid & !is ref; == ;True;;
;;H;last entry;;!xref overlaid & !is ref; == ;True;;
;R2004+;;;;;;;;
;;H;Owned Object handles;;;;;;
;Common;;;;;;;;
;;H;endblk entity;;;;;;
;R2000+;;;;;;;;
;;H;insert handles;;insert count;RANGE;;;
;;H;layout handle;;;;;;
;Common;;;;;;;;
;;X;CRC;;;;;;
LAYER_Control;;;;;;;;50;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;Num Entries;;;;;;
;;H;Handle null;;;;;;
;;H;handle xdicobjhandle;;;;;;
;;H;layer objhandles;;Num Entries;RANGE;;;
;;X;CRC;;;;;;
layer;;;;;;;;51;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;TV;name;;;;;;
;;B;FLAG 64;;;;;;
;;BS;xrefindex1;;;;;;
;;B;xdep;;;;;;
;R13-R14;;;;;;;;
;;B;Frozen;;;;;;
;;B;on;;;;;;
;;B;frozen in new;;;;;;
;;B;locked;;;;;;
;R2000+;;;;;;;;
;;BS;values;;;;;;
;Common;;;;;;;;
;;CMC;color;;;;;;
;;H;layer control;;;;;;
;;H;reactors;;num_reactors;RANGE;;;
;;H;xdicobjhandle;;;;;;
;;H;exref block handle;;;;;;
;R2000+;;;;;;;;
;;H;plotstyle;;;;;;
;R2007+;;;;;;;;
;;H;material;;;;;;
;Common;;;;;;;;
;;H;linetype;;;;;;
;;;;;;;;;always null
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
SHAPEFILE_Control;;;;;;;;52;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;Num Entries;;;;;;
;;H;Handle null;;;;;;
;;H;handle xdicobjhandle;;;;;;
;;H;shapefile objhandles;;Num Entries;RANGE;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
shapefile;;;;;;;;53;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;TV;name;;;;;;
;;B;flag64;;;;;;
;;Bs;xrefindex1;;;;;;
;;B;xdep;;;;;;
;;B;vertical;;;;;;
;;B;shape file;;;;;;
;;BD;fixed height;;;;;;
;;BD;width factor;;;;;;
;;BD;oblique angle;;;;;;
;;RC;generation;;;;;;
;;BD;last height;;;;;;
;;TV;font name;;;;;;
;;TV;big font name;;;;;;
;;H;shapefile;;;;;;
;;H;reactors;;num_reactors;RANGE;;;
;;H;xdicobjhandle;;;;;;
;;H;xref block;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
LTYPE_Control;;;;;;;;56;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;Num_Entries;;;;;;
;;H;Handle null;;;;;;
;;H;handle xdicobjhandle;;;;;;
;;H;BYBLOCK_Ltype;;;;;;
;;H;BYLAYER_Ltype;;;;;;
;;H;Ltypes;;Num_Entries;RANGE;;;
;;X;CRC;;;;;;
ltype;;;;;;;;57;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;TV;name;;;;;;
;;B;flag 64;;;;;;
;;BS;xrefindex1;;;;;;
;;B;xdep;;;;;;
;;TV;desc;;;;;;
;;BD;pattern len;;;;;;
;;RC;alignment;;;;;;
;;RC;numdashes;;;;;;
;;BD;dash length;;numdashes;RANGE;;;
;;BS;complex shapecode;;numdashes;RANGE;;;
;;RD;offset x;;numdashes;RANGE;;;
;;RD;offset y;;numdashes;RANGE;;;
;;BD;scale;;numdashes;RANGE;;;
;;BD;rotation;;numdashes;RANGE;;;
;;BS;shapeflag;;numdashes;RANGE;;;
;R13-R2004;;;;;;;;
;;RC;string area;;256;RANGE;;;
;R2007+;;;;;;;;
;;RC;test data;;256;RANGE;;;
;Common;;;;;;;;
;;H;ltype;;;;;;
;;H;reactors;;num_reactors;RANGE;;;
;;H;xdicobj;;;;;;
;;H;xref;;;;;;
;;H;shapefile_dash;;numdashes;RANGE;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
view_control;;;;;;;;60;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;Num_Entries;;;;;;
;;H;Handle null;;;;;;
;;H;handle xdicobjhandle;;;;;;
;;H;views;;Num_Entries;RANGE;;;
;;X;CRC;;;;;;
view;;;;;;;;61;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
ucs_control;;;;;;;;62;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;Num_Entries;;;;;;
;;H;Handle null;;;;;;
;;H;handle xdicobjhandle;;;;;;
;;H;ucs handles;;Num_Entries;RANGE;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
ucs;;;;;;;;63;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
Vport_Control;;;;;;;;64;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;Num_Entries;;;;;;
;;H;Handle null;;;;;;
;;H;handle xdicobjhandle;;;;;;
;;H;vport handles;;Num_Entries;RANGE;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
vport;;;;;;;;65;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;TV;name;;;;;;
;;B;flag 64;;;;;;
;;BS;xrefindex1;;;;;;
;;B;xdep;;;;;;
;;BD;view height;;;;;;
;;BD;aspect ratio;;;;;;
;;2RD;view center;;;;;;
;;3BD;view target;;;;;;
;;3BD;view dir;;;;;;
;;BD;view twist;;;;;;
;;BD;lens length;;;;;;
;;BD;front clip;;;;;;
;;BD;back clip;;;;;;
;;B;view mode;;4;RANGE;;;
;R2000+;;;;;;;;
;;RC;render mode;;;;;;
;R2007+;;;;;;;;
;;B;use default lights;;;;;;
;;RC;default lighting type;;;;;;
;;BD;brightness;;;;;;
;;BD;contrast;;;;;;
;;CMC;ambient color;;;;;;
;Common;;;;;;;;
;;2RD;lower left;;;;;;
;;2RD;upper right;;;;;;
;;B;ucs follow;;;;;;
;;BS;circle zoom;;;;;;
;;B;fast zoom;;;;;;
;;B;ucsicon;;2;RANGE;;;
;;B;grid on;;;;;;
;;2RD;frid spacing;;;;;;
;;B;snap on;;;;;;
;;B;snap style;;;;;;
;;BS;snap isopair;;;;;;
;;BD;span rot;;;;;;
;;2RD;snap base;;;;;;
;;2RD;snap spacing;;;;;;
;R2000+;;;;;;;;
;;B;unknown;;;;;;
;;B;ucs per viewport;;;;;;
;;3BD;ucs origin;;;;;;
;;3BD;ucs x axis;;;;;;
;;3BD;ucs y axis;;;;;;
;;BD;ucs elevation;;;;;;
;;BS;ucs orthographic type;;;;;;
;R2007+;;;;;;;;
;;BS;grid flags;;;;;;
;;BS;grid major;;;;;;
;Common;;;;;;;;
;;H;vport control;;;;;;
;;H;reactors;;num_reactors;RANGE;;;
;;H;xdicobjhandle;;;;;;
;;H;xref;;;;;;
;R2007+;;;;;;;;
;;H;background;;;;;;
;;H;visual style;;;;;;
;;H;sun;;;;;;
;R2000+;;;;;;;;
;;H;names ucs;;;;;;
;;H;nase ucs;;;;;;
;;X;CRC;;;;;;
appid_control;;;;;;;;66;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;Num_Entries;;;;;;
;;H;Handle null;;;;;;
;;H;handle xdicobjhandle;;;;;;
;;H;appid handles;;Num_Entries;RANGE;;;
;;X;CRC;;;;;;
appid;;;;;;;;67;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;TV;name;;;;;;
;;B;flag 64;;;;;;
;;BS;xrefinde1;;;;;;
;;B;xdep;;;;;;
;;RC;unknown;;;;;;
;;H;app control;;;;;;
;;H;reactors;;num_reactors;RANGE;;;
;;H;xdicobjhandle;;;;;;
;;H;xref;;;;;;
;;X;CRC;;;;;;
DIMSTYLE_Control;;;;;;;;68;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;Num_Entries;;;;;;
;;H;Handle null;;;;;;
;;H;handle xdicobjhandle;;;;;;
;;H;dimstyle handles;;Num_Entries+2;RANGE;;;
;;X;CRC;;;;;;
dimstyle;;;;;;;;69;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;TV;NAME;;;;;;
;;B;FLAG 64;;;;;;
;;BS;xrefindex1;;;;;;
;;B;xdep;;;;;;
;R13-R14;;;;;;;;
;;B;DIMTOL;;;;;;
;;B;DIMLIM;;;;;;
;;B;DIMTIH;;;;;;
;;B;DIMTOH;;;;;;
;;B;DIMSE1;;;;;;
;;B;DIMSE2;;;;;;
;;B;DIMALT;;;;;;
;;B;DIMTOFL;;;;;;
;;B;DIMSAH;;;;;;
;;B;DIMTIX;;;;;;
;;B;DIMSOXD;;;;;;
;;RC;DIMALTD;;;;;;
;;RC;DIMZIN;;;;;;
;;B;DIMSD1;;;;;;
;;B;DIMSD2;;;;;;
;;RC;DIMTOLJ;;;;;;
;;RC;DIMJUST;;;;;;
;;RC;DIMFIT;;;;;;
;;B;DIMUPT;;;;;;
;;RC;DIMTZIN;;;;;;
;;RC;DIMALTZ;;;;;;
;;RC;DIMALTTZ;;;;;;
;;RC;DIMTAD;;;;;;
;;BS;DIMUNIT;;;;;;
;;BS;DIMAUNIT;;;;;;
;;BS;DIMDEC;;;;;;
;;BS;DIMTDEC;;;;;;
;;BS;DIMALTU;;;;;;
;;BS;DIMALTTD;;;;;;
;;BD;DIMSCALE;;;;;;
;;BD;DIMASZ;;;;;;
;;BD;DIMEXO;;;;;;
;;BD;DIMDLI;;;;;;
;;BD;DIMEXE;;;;;;
;;BD;DIMRND;;;;;;
;;BD;DIMDLE;;;;;;
;;BD;DIMTP;;;;;;
;;BD;DIMTM;;;;;;
;;BD;DIMTXT;;;;;;
;;BD;DIMCEN;;;;;;
;;BD;DIMTSZ;;;;;;
;;BD;DIMALTF;;;;;;
;;BD;DIMLFAC;;;;;;
;;BD;DIMTVP;;;;;;
;;BD;DIMTFAC;;;;;;
;;BD;DIMGAP;;;;;;
;;T;DIMPOST;;;;;;
;;T;DIMAPOST;;;;;;
;;T;DIMBLK;;;;;;
;;T;DIMBLK1;;;;;;
;;T;DIMBLK2;;;;;;
;;BS;DIMCLRD;;;;;;
;;BS;DIMCLRE;;;;;;
;;BS;DIMCLRT;;;;;;
;R2000+;;;;;;;;
;;TV;DIMPOST;;;;;;
;;TV;DIMAPOST;;;;;;
;;BD;DIMSCALE;;;;;;
;;BD;DIMASZ;;;;;;
;;BD;DIMEXO;;;;;;
;;BD;DIMDLI;;;;;;
;;BD;DIMEXE;;;;;;
;;BD;DIMRND;;;;;;
;;BD;DIMDLE;;;;;;
;;BD;DIMTP;;;;;;
;;BD;DIMTM;;;;;;
;R2007+;;;;;;;;
;;BD;DIMFXL;;;;;;
;;BD;DIMJOGANG;;;;;;
;;BS;DIMTFILL;;;;;;
;;CMC;DIMTFILLCLR;;;;;;
;R2000+;;;;;;;;
;;B;DIMTOL;;;;;;
;;B;DIMLIM;;;;;;
;;B;DIMTIH;;;;;;
;;B;DIMTOH;;;;;;
;;B;DIMSE1;;;;;;
;;B;DIMSE2;;;;;;
;;BS;DIMTAD;;;;;;
;;BS;DIMZIN;;;;;;
;;BS;DIMAZIN;;;;;;
;R2007+;;;;;;;;
;;BS;DIMARCSYM;;;;;;
;R2000+;;;;;;;;
;;BD;DIMTXT;;;;;;
;;BD;DIMCEN;;;;;;
;;BD;DIMTSZ;;;;;;
;;BD;DIMALTF;;;;;;
;;BD;DIMLFAC;;;;;;
;;BD;DIMTVP;;;;;;
;;BD;DIMTFAC;;;;;;
;;BD;DIMGAP;;;;;;
;;BD;DIMALTRND;;;;;;
;;B;DIMALT;;;;;;
;;BS;DIMALTD;;;;;;
;;B;DIMTOFL;;;;;;
;;B;DIMSAH;;;;;;
;;B;DIMTIX;;;;;;
;;B;DIMSOXD;;;;;;
;;BS;DIMCLRD;;;;;;
;;BS;DIMCLRE;;;;;;
;;BS;DIMCLRT;;;;;;
;;BS;DIMADEC;;;;;;
;;BS;DIMDEC;;;;;;
;;BS;DIMTDEC;;;;;;
;;BS;DIMALTU;;;;;;
;;BS;DIMALTTD;;;;;;
;;BS;DIMAUNIT;;;;;;
;;BS;DIMFRAC;;;;;;
;;BS;DIMLUNIT;;;;;;
;;BS;DIMDSEP;;;;;;
;;BS;DIMTMOVE;;;;;;
;;BS;DIMJUST;;;;;;
;;B;DIMSD1;;;;;;
;;B;DIMSD2;;;;;;
;;BS;DIMTOLJ;;;;;;
;;BS;DIMTZIN;;;;;;
;;BS;DIMALTZ;;;;;;
;;BS;DIMALTTZ;;;;;;
;;B;DIMUPT;;;;;;
;;BS;DIMFIT;;;;;;
;R2007+;;;;;;;;
;;B;DIMFXLON;;;;;;
;R2010+;;;;;;;;
;;B;DIMTXTDIRECTION;;;;;;
;;BD;DIMALTMZF;;;;;;
;;T;DIMALTMZS;;;;;;
;;T;DIMMZS;;;;;;
;;BD;DIMMZF;;;;;;
;R2000+;;;;;;;;
;;BS;DIMLWD;;;;;;
;;BS;DIMLWE;;;;;;
;Common;;;;;;;;
;;B;UNKNOWN;;;;;;
;;H;dimstyle;;;;;;
;;H;reactors;;num_reactors;RANGE;;;
;;H;xdicobj;;;;;;
;;H;xref;;;;;;
;;H;shapefile;;;;;;
;R2000+;;;;;;;;
;;H;leader;;;;;;
;;H;dimblk;;;;;;
;;H;dimblk1;;;;;;
;;H;dimblk2;;;;;;
;R2007+;;;;;;;;
;;H;dimltype;;;;;;
;;H;dimltex1;;;;;;
;;H;dimltex2;;;;;;
;Common;;;;;;;;
;;X;CRC;;;;;;
VP_ENT_HDR_CONTROL;;;;;;;;70;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;Num_Entries;;;;;;
;;H;Handle null;;;;;;
;;H;handle xdicobjhandle;;;;;;
;;H;dimstyle handles;;Num_Entries;RANGE;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
VP_ENT_HDR;;;;;;;;71;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;TV;Entry name;;;;;;
;;B;Flag_64;;;;;;
;;BS;xrefindex1;;;;;;
;;B;xdep;;;;;;
;;B;Flag_1;;;;;;
;;H;viewport entity control;;;;;;
;;H;handle xdicobjhandle;;;;;;
;;H;xref_handle;;;;;;
;;H;viewport entity;;;;;;
;;H;prv_vport;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
group;;;;;;;;72;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
mlinestyle;;;;;;;;73;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;TV;name;;;;;;
;;TV;desc;;;;;;
;;BS;flags;;;;;;
;;CMC;fillcolor;;;;;;
;;BD;start angle;;;;;;
;;BD;end angle;;;;;;
;;RC;num lines;;;;;;
;;BD;offset;;num lines;RANGE;;;
;;CMC;color;;num lines;RANGE;;;
;R2008-;;;;num lines;RANGE;;;
;;BS;line type index;;num lines;RANGE;;;
;R2008+;;;;num lines;RANGE;;;
;;H;line type handle;;num lines;RANGE;;;
;Common;;;;;;;;
;;H;parent;;;;;;
;;H;reactors;;;;;;
;;H;xdicobj;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
OLE2FRAME;;;;;;;;74;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
DUMMY;;;;;;;;75;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
LONG_TRANSACTION;;;;;;;;76;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
LWPLINE;;;;;;;;77;
;Common;;;;;;;;
;;X;CED;;;;;;
;;BS;flag;;;;;;
;;BD;constwidth;;;customvalue;float(0);;
;;BD;constwidth;;flag;&;4;;
;;BD;elevation;;;customvalue;float(0);;
;;BD;elevation;;flag;&;8;;
;;BD;thickness;;;customvalue;float(0);;
;;BD;thickness;;flag;&;2;;
;;3BD;normal;;;customvalue;bit.point3D();;
;;3BD;normal;;flag;&;1;;
;;BL;num points;;;;;;
;;BL;Num bulges;;;customvalue;float(0);;
;;BL;Num bulges;;flag;&;16;;
;R2010+;;;;;;;;
;;BL;vertexIdCount;;flag;&;1024;;
;;BL;numwidths;;flag;&;32;;
;R2000+;;;;;;;;
;;LIST;coords;;;custom;1;;
;Common;;;;;;;;
;;BD;bulge;;Num bulges;RANGE;;;
;R2010+;;;;;;;;
;;BL;vertexId;;vertexIdCount;RANGE;;;
;;2BD;widths;;numwidths;RANGE;;;
;Common;;;;;;;;
;;;;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
HATCH1;;;;;;;;78;
;Common;;;;;;;;
;;X;CED;;;;;;
;R2004+;;;;;;;;
;;BL;Gradient_Fill_Flag;;;;;;
;;BL;Reserved;;;;;;
;;BD;Gradient Angle;;;;;;
;;BD;Gradient Shift;;;;;;
;;BL;Single Color Grad;;;;;;
;;BD;Gradient Tint;;;;;;
;;BL;Num Gradient Colors;;;;;;
;;BD;Unknown double;;Num Gradient Colors;RANGE;;;
;;BS;Unknown short;;Num Gradient Colors;RANGE;;;
;;BL;RGB Color;;Num Gradient Colors;RANGE;;;
;;RC;Ignored color byte;;Num Gradient Colors;RANGE;;;
;;RC;Gradient Name;;;;;;
;Common;;;;;;;;
;;BD;Z coord;;;;;;
;;3BD;extrusion;;;;;;
;;TV;name;;;;;;
;;B;solid fill;;;;;;
;;B;associative;;;;;;
;;BL;numpaths;;;;;;
;;X;hatch_paths;;numpaths;RANGE;;;
;;BS;style;;;;;;
;;BS;patterntype;;;;;;
;;BD;angle;;;;;;
;;BD;scale_or_spacing;;;;;;
;;B;double_hatch;;;;;;
;;BS;num_defination_lines;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;X;CEHD;;;;;;
;;;;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
XRECORD;;;;;;;;79;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;num databytes;;;;;;
;;RC;DataBytes;;num databytes;RANGE;;;
;R2000+;;;;;;;;
;;BS;cloning flag;;;;;;
;Common;;;;;;;;
;;;xrecord data;;;;;;
;;H;parent;;;;;;
;;H;reactors;;num reactors;RANGE;;;
;;H;xdic;;;;;;
;;;;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
PLACEHOLDER;;;;;;;;80;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
VBA_PROJECT;;;;;;;;;
;Common;;;;;;;81;
;;H;Handle;;;;;;
;;X;CED;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
LAYOUT;;;;;;;;82;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;TV;page setup name;;;;;;
;;TV;printer config;;;;;;
;;BS;plot layout flags;;;;;;
;;BD;margin left;;;;;;
;;BD;margin bottom;;;;;;
;;BD;margin right;;;;;;
;;BD;margin top;;;;;;
;;BD;paper width;;;;;;
;;BD;paper height;;;;;;
;;TV;paper size;;;;;;
;;2BD;plot origin;;;;;;
;;BS;paper units;;;;;;
;;BS;plot rotation;;;;;;
;;BS;plot type;;;;;;
;;2BD;window min;;;;;;
;;2BD;window max;;;;;;
;R13-R2000;;;;;;;;
;;TV;plot view name;;;;;;
;Common;;;;;;;;
;;BD;real world units;;;;;;
;;BD;drawing units;;;;;;
;;TV;current style sheet;;;;;;
;;BS;scale type;;;;;;
;;BD;scale factor;;;;;;
;;2BD;paper image origin;;;;;;
;R2004+;;;;;;;;
;;BS;shade plot mode;;;;;;
;;BS;shade plot res level;;;;;;
;;BS;shade plot custom;;;;;;
;Common;;;;;;;;
;;TV;layout name;;;;;;
;;BL;tab order;;;;;;
;;BS;flag;;;;;;
;;3BD;ucs origin;;;;;;
;;2RD;lim min;;;;;;
;;2RD;lim max;;;;;;
;;3BD;ins point;;;;;;
;;3BD;ucs axis x;;;;;;
;;3BD;ucs axis y;;;;;;
;;BD;elevation;;;;;;
;;BS;ortho view type;;;;;;
;;3BD;ext min;;;;;;
;;3BD;ext max;;;;;;
;R2004+;;;;;;;;
;;RL;Viewport count;;;;;;
;Common;;;;;;;;
;;H;parent;;;;;;
;;H;reactors;;num reactors;RANGE;;;
;;H;xdicobj;;;;;;
;R2004+;;;;;;;;
;;H;plot view;;;;;;
;R2007+;;;;;;;;
;;H;visual style handle;;;;;;
;Common;;;;;;;;
;;H;assoc paperspace block record;;;;;;
;;H;last active viewport;;;;;;
;;H;base ucs;;;;;;
;;H;named ucs;;;;;;
;R2004+;;;;;;;;
;;H;viewport;;Viewport count;RANGE;;;
;Common;;;;;;;;
;;X;CRC;;;;;;
ACAD_PROXY_ENTITY;;;;;;;;83;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
ACAD_PROXY_OBJECT;;;;;;;;84;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
unknown;;;;;;;;85;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
RASTERVARIABLES;;;;;;;;;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;classver;;;;;;
;;BS;dispfrm;;;;;;
;;BS;dispqual;;;;;;
;;BS;units;;;;;;
;;H;parent;;;;;;
;;H;reactors;;num_reactors;RANGE;;;
;;H;xdicobj;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
scale;;;;;;;;;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BS;unknown;;;;;;
;;TV;name;;;;;;
;;BD;paper units;;;;;;
;;BD;drawing units;;;;;;
;;B;unit scale flag;;;;;;
;;H;parent;;;;;;
;;H;reactors;;;;;;
;;H;xdicobj;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
ACDBPLACEHOLDER;;;;;;;;;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;H;parent;;;;;;
;;H;reactors;;;;;;
;;H;xdicobj;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
DICTIONARYVAR;;;;;;;;;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;RC;int val;;;;;;
;;TV;str;;;;;;
;;H;parent;;;;;;
;;H;reactor;;num reactors;RANGE;;;
;;H;xdicobj;;;;;;
;;X;CRC;;;;;;
MLEADERSTYLE;;;;;;;;;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;R2010;;;;;;;;
;;BS;Version;;;;;;
;Common;;;;;;;;
;;BS;Content type;;;;;;
;;BS;Draw multileader order;;;;;;
;;BS;Draw leader order;;;;;;
;;BL;Maximum number of points;;;;;;
;;BD;First segment angle;;;;;;
;;;;;;;;;
;;BS;Leader type;;;;;;
;;CMC;Leader line color;;;;;;
;;H;Leader line type handle;;;;;;
;;BL;Leader line weight;;;;;;
;;B;Is landing enabled;;;;;;
;;BD;Landing gap;;;;;;
;;B;Auto include landing;;;;;;
;;BD;Landing distance;;;;;;
;;TV;Style description;;;;;;
;;H;Arrow head block handle;;;;;;
;;BD;Arrow head size;;;;;;
;;TV;Text default;;;;;;
;;H;Text style handle;;;;;;
;;BS;Left attachment;;;;;;
;;BS;Right attachment;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
SORTENTSTABLE;;;;;;;;;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;R2004+;;;;;;;;
;;B;XDic_Missing;;;;;;
;Common;;;;;;;;
;;BL;Num_Entries;;;;;;
;;H;Sort_Handles;;Num_Entries;RANGE;;;
;;H;parent;;;;;;
;;H;reactor;;num reactors;RANGE;;;
;;H;xdicobj;;;;;;
;;H;owner_handle;;;;;;
;;H;entities;;Num_Entries;RANGE;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
ACDB_BLKREFOBJECTCONTEXTDATA_CLASS;;;;;;;;;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;;;;;;;;
;;;;;;;;;
;;X;CRC;;;;;;
;;;;;;;;;
SUN;;;;;;;;;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;;;;;;;;
;;;;;;;;;
;;H;reactor;;num reactors;RANGE;;;
;;X;CRC;;;;;;
